place_id,location_name,address,latitude,longitude,original_place_bbox,building_id,building_bbox,final_bbox,bbox_method,building_area_m2
09bc6de4-906b-4c93-9f9e-be17d0aa9027,Sooke Shukokai Karate,6705 W Coast Rd,48.377036492675,-123.72398080194,"[-123.72398376464844, 48.37702941894531, -123.72396850585938, 48.377037048339844]",,,"[-123.72398376464844, 48.37702941894531, -123.72396850585938, 48.377037048339844]",original_place,
b6500cb6-51a9-42bd-b7bb-5c8b0b2b270a,Moment Yoga,6705 W Coast Rd,48.37696414,-123.72393712,"[-123.72393798828125, 48.376956939697266, -123.72392272949219, 48.3769645690918]",,,"[-123.72393798828125, 48.376956939697266, -123.72392272949219, 48.3769645690918]",original_place,
67dfac82-90fe-4a56-a68a-8612c86d9b04,Bits of Bliss Confectionery,6705A W Coast Rd,48.37689651,-123.72393974,"[-123.72395324707031, 48.376895904541016, -123.72393798828125, 48.37690353393555]",ce7bb04b-43b2-4ad3-9ddd-9221f826be84,"[-123.72423553466797, 48.376625061035156, -123.72364044189453, 48.3769645690918]","[-123.72423553466797, 48.376625061035156, -123.72364044189453, 48.3769645690918]",building,
097e09c1-fabe-4607-b551-61d3f5340732,James L James - DLC Modern Mortgage Group,6689 Sooke Rd,48.37693015,-123.72418467,"[-123.72419738769531, 48.376922607421875, -123.72418212890625, 48.376930236816406]",,,"[-123.72419738769531, 48.376922607421875, -123.72418212890625, 48.376930236816406]",original_place,
e8c41bda-8b0a-4920-a2ae-a0a0db299d51,Pemberton Holmes - Sooke,2-6716 W Coast Rd,48.3769438,-123.7241721,"[-123.72417449951172, 48.37693786621094, -123.72415924072266, 48.37694549560547]",,,"[-123.72417449951172, 48.37693786621094, -123.72415924072266, 48.37694549560547]",original_place,
1ab9b901-d57d-4a51-8bdc-40e5c5d7d490,Star Aesthetics,6649 Sooke Rd #3,48.3769666,-123.7241513,"[-123.72415161132812, 48.37696075439453, -123.72413635253906, 48.37696838378906]",,,"[-123.72415161132812, 48.37696075439453, -123.72413635253906, 48.37696838378906]",original_place,
04938232-526a-43f0-aa25-dc316cae9372,UPS Access Point location,"6716 WEST COAST RD, 4",48.3770507,-123.7240742,"[-123.72407531738281, 48.377044677734375, -123.72406005859375, 48.377052307128906]",,,"[-123.72407531738281, 48.377044677734375, -123.72406005859375, 48.377052307128906]",original_place,
80393503-08b6-4b53-9eff-c80bd093c022,HoneyBadger Bitcoin ATM at Pharmasave Sooke,6716 W Coast Rd,48.3770507,-123.7240742,"[-123.72407531738281, 48.377044677734375, -123.72406005859375, 48.377052307128906]",,,"[-123.72407531738281, 48.377044677734375, -123.72406005859375, 48.377052307128906]",original_place,
b8378131-1f15-4da1-8dce-3a7a5560580a,Barb's Barber Shop,6706 Sooke Rd,48.37730654,-123.7240999,"[-123.72411346435547, 48.37730026245117, -123.7240982055664, 48.3773078918457]",,,"[-123.72411346435547, 48.37730026245117, -123.7240982055664, 48.3773078918457]",original_place,
e20909f1-0400-44dd-ad68-3cb2feb07db5,Pharmasave Sooke,6716 W Coast Rd #8,48.37724776,-123.72436346,"[-123.724365234375, 48.37724685668945, -123.72434997558594, 48.377254486083984]",25782952-39ec-45a0-8804-5dd0de68084a,"[-123.72501373291016, 48.37686538696289, -123.72425079345703, 48.37757110595703]","[-123.72501373291016, 48.37686538696289, -123.72425079345703, 48.37757110595703]",building,
5f6bd7ef-d45e-48f2-8079-f59198414adb,Boutique West,2048 Otter Point Rd,48.37750346399501,-123.72423209477908,"[-123.72423553466797, 48.37750244140625, -123.7242202758789, 48.37751007080078]",534ef88b-f3dc-4af1-ad07-6d04a480b0f5,"[-123.72471618652344, 48.3773078918457, -123.72399139404297, 48.37774658203125]","[-123.72471618652344, 48.3773078918457, -123.72399139404297, 48.37774658203125]",building,
2b7930ce-6f2a-4e6f-993e-a507c4198262,Happy Village Restaurant,2038 Otter Point Rd,48.3775038,-123.72421486,"[-123.72422790527344, 48.37750244140625, -123.72421264648438, 48.37751007080078]",534ef88b-f3dc-4af1-ad07-6d04a480b0f5,"[-123.72471618652344, 48.3773078918457, -123.72399139404297, 48.37774658203125]","[-123.72471618652344, 48.3773078918457, -123.72399139404297, 48.37774658203125]",building,
529efed3-8993-4817-bdde-d5ae1b5d71eb,Hamels Fabrics,2044 Otter Point Rd,48.37754138,-123.724094,"[-123.72410583496094, 48.377540588378906, -123.72409057617188, 48.37754821777344]",,,"[-123.72410583496094, 48.377540588378906, -123.72409057617188, 48.37754821777344]",original_place,
